streptococcus pneumoniae
escherichia coli
streptomyces noursei
fusobacterium nucleatum
bordetella pertussis
pseudomonas aeruginosa
salmonella enterica
unidentified eubacterium
vibrio splendidus
staphylococcus aureus
rhizobium sp
porphyrobacter neustonensis
thioalkalimicrobium cyclicum
aliiroseovarius crassostreae
klebsiella pneumoniae
bradyrhizobium sp
oenococcus oeni
bosea sp
ruminiclostridium thermocellum
burkholderia pseudomallei
blattabacterium sp
treponema pallidum
rhodobacteraceae bacterium
acinetobacter ursingii
acinetobacter baumannii
methanobacterium formicicum
mycobacterium tuberculosis
xanthomonas citri
vibrio sp
nautella italica
alkaliphilus oremlandii
mameliella alba
brucella abortus
bacteroides fragilis
pediococcus claussenii
aeromonas caviae
lactobacillus paracasei
lactobacillus casei
nitrospira defluvii
mycobacterium abscessus
mycoplasma fermentans
treponema denticola
corynebacterium sp
corynebacterium glyciniphilum
campylobacter coli
lysinibacillus fusiformis
neisseria gonorrhoeae
leptospira interrogans
acidibacillus ferrooxidans
candidatus nomurabacteria
planococcus rifietoensis
streptococcus equi
clostridioides difficile
kocuria palustris
pandoraea sp
mannheimia haemolytica
parcubacteria group
oleiphilus sp
haladaptatus sp
 clostridium
enterococcus faecium
burkholderia ubonensis
listeria monocytogenes
novosphingobium sp
streptomyces sp
shigella sonnei
streptococcus sp
streptococcus parasanguinis
brucella ovis
vibrio cholerae
aeromonas veronii
azotobacter chroococcum
pseudomonas sp
leminorella grimontii
parabacteroides merdae
gilliamella apicola
marinobacter subterrani
coxiella burnetii
streptococcus iniae
methanosarcina mazei
rhodococcus sp
yersinia rohdei
aeromonas hydrophila
bacillus cereus
lactococcus raffinolactis
cellulosimicrobium funkei
brucella melitensis
francisella tularensis
thermosulfidibacter takaii
yersinia ruckeri
mycobacterium orygis
gordonia aichiensis
streptococcus agalactiae
mycobacterium sp
achromobacter sp
serratia proteamaculans
helicobacter heilmannii
enterobacter cloacae
candidatus moranbacteria
xylella fastidiosa
comamonas testosteroni
xanthomonas campestris
mycobacterium avium
pectobacterium carotovorum
