Salmonella enterica
Vibrio sp.
Klebsiella pneumoniae
Rouxiella badensis
Bifidobacterium pseudocatenulatum
Mycobacteroides abscessus
Staphylococcus aureus
Bacillus licheniformis
Phocaeicola vulgatus
Streptococcus suis
Escherichia coli
Xanthomonas hortorum
Vibrio cholerae
Pseudomonas aeruginosa
Alkalimarinus coralli
Kingella kingae
Enterobacter hormaechei
Clostridium sporogenes
Geobacter sulfurreducens
Enterococcus faecium
Staphylococcus xylosus
Bifidobacterium adolescentis
Brochothrix thermosphacta
Acinetobacter towneri
Francisella tularensis
Pseudomonas atacamensis
MAG: uncultured
MAG: Faecalibaculum
Bacteroides uniformis
Rhodoferax sp.
MAG: Thomasclavelia
Shigella sp.
Escherichia albertii
Alcaligenes faecalis
Acinetobacter baumannii
Klebsiella aerogenes
Stenotrophomonas maltophilia
MAG: Anaerotruncus
Leptospira interrogans
Pectobacterium carotovorum
Clostridioides difficile
Candidatus Magnetaquicoccus
Limosilactobacillus frumenti
Listeria monocytogenes
Corynebacterium diphtheriae
Enterococcus faecalis
Chlamydia trachomatis
Escherichia marmotae
Streptococcus pneumoniae
Prochlorococcus marinus
Haemophilus influenzae
Lelliottia aquatilis
Rhodococcus wratislaviensis
Alistipes senegalensis
Campylobacter jejuni
Mycobacterium tuberculosis
Acinetobacter bereziniae
Streptococcus agalactiae
Klebsiella variicola
Neisseria meningitidis
Leptospira santarosai
Streptomyces caelestis
Streptococcus dysgalactiae
Shigella sonnei
Dellaglioa algida
Lactococcus lactis
Enterobacter sp.
Acetobacter thailandicus
Bartonella bacilliformis
Helicobacter pylori
Pseudomonas mendocina
Lactobacillus iners
Citrobacter portucalensis
Pseudomonas sp.
Pseudomonas fluorescens
Cyanobium sp.
Pseudomonas syringae
Pseudomonas carnis
Paenarthrobacter sp.
Vibrio vulnificus
Citrobacter freundii
Streptococcus iniae
Bacillus thuringiensis
Tenacibaculum maritimum
Proteus mirabilis
Pantoea sp.
Brucella abortus
Brucella intermedia
Burkholderia pseudomallei
Campylobacter volucris
Bacillus wiedmannii
Halomonas lutea
Listeria immobilis
Sulfitobacter sp.
Shimia haliotis
Texcoconibacillus texcoconensis
Auritidibacter ignavus
Pseudomonas viridiflava
Lactobacillus jensenii
Lactiplantibacillus pentosus
Mammaliicoccus sp.
Mesorhizobium sp.
Salirhabdus sp.
Pseudomonas protegens
Latilactobacillus sakei
MAG: Pseudomonas
Staphylococcus pseudintermedius
Eikenella corrodens
Eikenella sp.
Alkalihalobacillus clausii
Pseudomonas paraeruginosa
Nocardia nova
Enterobacter roggenkampii
Enterocloster bolteae
Williamsia sp.
Acinetobacter lwoffii
Winogradskyella schleiferi
Neisseria lactamica
Shigella flexneri
Paenibacillus sp.
Borreliella burgdorferi
Burkholderia cenocepacia
Marinospirillum celere
Pseudomonas chlororaphis
Collinsella aerofaciens
Mammaliicoccus sciuri
Pseudoalteromonas sp.
Prescottella equi
Legionella taurinensis
Pedobacter steynii
Variovorax sp.
Chlamydia abortus
Fibrobacter sp.
Solibacillus silvestris
Acholeplasma laidlawii
Streptococcus gordonii
Lactobacillus acidophilus
Enterobacter asburiae
Streptococcus anginosus
Lactobacillus crispatus
Bacillus sp.
Vibrio furnissii
Ralstonia solanacearum
Gelidibacter maritimus
Mannheimia haemolytica
Serratia marcescens
Bacillus siamensis
Bacillus cytotoxicus
Phocaeicola coprophilus
Streptomyces tsukubensis
Salmonella sp.
Vibrio parahaemolyticus
Streptomyces sp.
Rhizobium leguminosarum
Neisseria gonorrhoeae
Bifidobacterium longum
Klebsiella quasipneumoniae
Brucella melitensis
Achromobacter denitrificans
Aliivibrio fischeri
Streptococcus pyogenes
Ralstonia insidiosa
Marinilactibacillus psychrotolerans
Bacteroides nordii
Neorickettsia sp.
Nocardia farcinica
Polynucleobacter sp.
Vagococcus acidifermentans
Kutzneria sp.
Erwinia amylovora
MAG: Streptococcus
MAG: Syntrophomonas
Staphylococcus epidermidis
Legionella pneumophila
Thermotoga neapolitana
Mucilaginibacter gotjawali
Alteromonas portus
Proteus myxofaciens
Campylobacter coli
MAG: Dialister
Citrobacter koseri
Acinetobacter haemolyticus
Sulfitobacter mediterraneus
Synechococcus sp.
Bacillus cereus
Burkholderia ubonensis
Erwinia pyrifoliae
Nostoc sp.
Clostridium botulinum
Brevibacterium sp.
Sphingobacterium sp.
Prevotella bryantii
Cutibacterium acnes
Aggregatibacter aphrophilus
Ruegeria sp.
Corynebacterium antarcticum
Acidiphilium sp.
Prevotella nigrescens
Prevotella denticola
Yersinia ruckeri
Enterobacter bugandensis
Halomonas meridiana
Burkholderia multivorans
Pseudoleptotrichia goodfellowii
Mycolicibacterium obuense
Priestia megaterium
Streptomyces clavuligerus
Erysipelothrix rhusiopathiae
Acinetobacter sp.
Microbacterium sp.
Xanthomonas vasicola
Clostridium rhizosphaerae
Rhodobacter amnigenus
Gilliamella apicola
Coprococcus comes
Ralstonia pickettii
Streptococcus sobrinus
Sediminibacterium sp.
Salinibacter sp.
Spiroplasma diminutum
Pantoea dispersa
Mycobacterium sp.
Candidatus Kryptonium
Leptospira kirschneri
Burkholderia lata
Paenibacillus koleovorans
Bifidobacterium bifidum
Clostridium tetani
Mycobacterium avium
Rubrivivax sp.
Lactiplantibacillus plantarum
Streptomyces hygroscopicus
Bacteroides ovatus
Streptococcus orisratti
Tenacibaculum finnmarkense
Macrococcus caseolyticus
Dorea formicigenerans
Cryobacterium sp.
Rahnella victoriana
Xanthomonas perforans
Pelagovum pacificum
Apilactobacillus kunkeei
Leuconostoc pseudomesenteroides
Citrobacter sp.
Moraxella catarrhalis
MAG: Xylanibacter
Bacillus paralicheniformis
Peribacillus frigoritolerans
MAG: Turicimonas
Coxiella burnetii
Aggregatibacter actinomycetemcomitans
Serratia sp.
Shigella boydii
Akkermansia muciniphila
Leuconostoc mesenteroides
Prevotella copri
Deinococcus radiotolerans
Bartonella quintana
Planococcus maritimus
Leptospira alexanderi
Bacillus velezensis
Escherichia sp.
[Clostridium] scindens
Leucobacter luti
Acinetobacter cumulans
Micromonospora craniellae
Lactococcus formosensis
